Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764868495.6694365,0,-3,-5,2,-1,-3,3,-7,REST
1764868495.6843553,-1,-1,0,-2,-2,2,-5,-3,REST
1764868495.6986527,0,2,-1,-2,-7,-3,-5,1,REST
1764868495.7069063,1,1,1,-3,-7,2,2,-1,REST
1764868495.7213094,-7,-1,-4,-4,1,-3,-1,-4,REST
1764868495.7294981,5,3,4,2,1,0,2,0,REST
1764868495.7443416,0,2,1,0,5,-4,-4,2,REST
1764868495.7587426,-5,0,-1,-1,4,0,-4,0,REST
1764868495.7668803,1,-2,-3,-3,-5,-5,-3,-4,REST
1764868495.7812538,2,-4,2,1,2,-1,3,-2,REST
1764868495.7894526,-2,-4,3,-2,-3,-2,-5,0,REST
1764868495.8044329,4,-1,-4,-2,-7,-5,0,0,REST
1764868495.8188293,-3,-4,-3,-3,-2,-2,-5,2,REST
1764868495.827487,-3,0,-4,4,7,-3,-4,-2,REST
1764868495.8411858,-1,-2,-1,-2,-5,1,-2,-5,REST
1764868495.8493347,-5,-4,-2,-2,-2,-2,-1,3,REST
1764868495.8646264,3,1,-1,2,-2,0,5,0,REST
1764868495.8787055,-4,-1,0,-5,-3,-2,3,7,REST
1764868495.886941,-1,2,-1,-3,-2,0,0,0,REST
1764868495.9012592,1,1,-3,0,0,-2,-2,-7,REST
1764868495.90949,0,1,1,7,9,4,-7,6,REST
1764868495.9244528,-5,-3,-1,-3,-4,-2,-4,-1,REST
1764868495.9387147,2,-3,1,0,-2,-3,-2,2,REST
1764868495.9468565,1,-2,2,-1,1,1,-2,5,REST
1764868495.9612966,5,0,1,-2,7,-2,5,-4,REST
1764868495.9694946,-2,-3,-4,-3,-7,-4,-1,-8,REST
1764868495.9844406,3,4,-1,-2,-4,-4,0,0,REST
1764868495.9986818,-3,-4,-2,1,0,-2,0,-2,REST
1764868496.006837,3,2,-2,1,2,3,1,-2,REST
1764868496.0212028,-1,-1,0,5,2,6,0,-5,REST
1764868496.0293343,-4,1,-1,-2,3,1,1,-4,REST
1764868496.0445516,1,1,-1,-6,-5,0,1,-2,REST
1764868496.0587933,1,0,1,0,-5,-1,-2,8,REST
1764868496.0670493,1,-3,-3,-4,-11,-2,-6,-2,REST
1764868496.0811472,-1,-3,1,-4,1,-1,0,-3,REST
1764868496.0893204,-4,-1,-2,-1,-2,0,-2,-3,REST
1764868496.1045947,0,4,4,1,0,2,-8,0,REST
1764868496.118585,-2,1,-2,-2,-1,-2,1,-5,REST
1764868496.1269405,3,-2,2,0,-1,-2,-2,0,REST
1764868496.1412365,-3,-2,-5,-5,-8,-2,0,-4,REST
1764868496.1494846,-9,-1,-4,-6,-1,-1,-1,1,REST
1764868496.1645248,4,1,3,-1,2,1,0,-2,REST
1764868496.1786258,-6,-1,-1,-2,-3,-2,2,0,REST
1764868496.1869125,3,0,-2,-2,-5,-3,-3,2,REST
1764868496.2012162,-3,-2,-3,-4,-9,0,-8,-3,REST
1764868496.2093563,3,0,3,4,3,-1,-2,1,REST
1764868496.2244842,-2,-5,-2,-4,-5,-4,-6,0,REST
1764868496.2386496,-1,-3,0,-1,1,1,1,-1,REST
1764868496.246849,-2,-6,0,-4,-3,-5,-5,0,REST
1764868496.2612338,-3,2,-2,-3,-5,-1,0,1,REST
1764868496.269375,-1,-3,-2,-8,-6,0,-4,-1,REST
1764868496.283685,4,-1,2,-2,-3,-1,-3,3,REST
1764868496.2918699,2,2,-1,-4,-3,1,-1,-1,REST
1764868496.2987258,1,-4,-3,-3,-1,3,-2,-2,REST
1764868496.3069842,2,0,2,0,5,1,-3,1,REST
1764868496.321208,0,-2,0,0,-3,-6,-1,-3,REST
1764868496.3294272,-1,-2,1,0,3,-4,3,2,REST
1764868496.343632,-1,-1,-1,8,0,0,-1,1,REST
1764868496.3519626,-1,0,3,-2,3,-2,-2,3,REST
1764868496.3676782,0,-1,-3,-1,0,2,4,3,REST
1764868496.381172,2,1,-2,-4,2,-3,-1,-4,REST
1764868496.3895195,2,1,-2,5,3,0,3,-4,REST
1764868496.4041712,-3,-1,-2,-2,4,-6,-5,1,REST
1764868496.4118493,2,-1,3,2,1,0,2,3,REST
1764868496.4277391,-3,-4,-1,-2,-4,0,-1,-1,REST
1764868496.441782,-2,-3,0,-2,2,-1,-2,-1,REST
1764868496.449336,-1,-3,-5,-2,0,-8,-2,-1,REST
1764868496.463763,-4,2,5,-2,3,5,1,-1,REST
1764868496.4719582,3,2,3,-2,-5,-1,1,1,REST
1764868496.487633,2,0,-6,-8,-7,-4,1,-2,REST
1764868496.5012822,0,-3,-4,-4,-4,-3,1,-6,REST
1764868496.5094888,3,3,5,5,-1,-2,1,1,REST
1764868496.5237741,3,0,-1,2,-2,0,-5,1,REST
1764868496.5320058,0,-1,-4,-1,3,1,-2,-2,REST
1764868496.5476763,-1,1,-2,-1,2,-1,-2,-1,REST
1764868496.5611596,-4,1,-1,2,4,4,0,2,REST
1764868496.5694532,-1,-3,2,1,-4,2,1,1,REST
1764868496.5836475,2,-1,2,4,4,-4,3,-2,REST
1764868496.591874,0,5,2,-3,-5,-4,-1,-3,REST
1764868496.6075513,-1,-5,-2,-4,-5,-5,-6,1,REST
1764868496.6212356,-1,-4,1,-3,-8,-2,-1,-5,REST
1764868496.6294024,-4,1,-1,1,2,2,-1,-2,REST
1764868496.6436849,-4,-1,2,0,-3,-1,-3,0,REST
1764868496.6519508,-2,1,-6,-3,-3,-5,-2,0,REST
1764868496.6675553,3,4,3,2,-4,2,4,2,REST
1764868496.6812236,1,-3,-3,-5,0,-2,0,-3,REST
1764868496.6893609,-1,0,2,-3,-7,-5,1,-3,REST
1764868496.7036598,0,-3,-2,-2,1,-1,-5,-6,REST
1764868496.711993,1,-2,-3,-3,1,-5,0,2,REST
1764868496.7262468,0,1,-1,1,2,0,0,0,REST
1764868496.7350886,3,0,0,2,2,1,0,0,REST
1764868496.7411711,1,0,-1,-1,0,3,-3,-1,REST
1764868496.7500813,-3,-3,-1,3,3,3,-1,-2,REST
1764868496.7640233,0,2,1,2,-1,-2,0,4,REST
1764868496.772597,-1,-5,-3,-6,-2,0,-4,-3,REST
1764868496.7862422,-4,0,-2,-1,-3,-2,-2,-2,REST
1764868496.7952037,-3,2,1,-2,-4,3,-2,0,REST
1764868496.8012078,-6,-3,-3,-2,-5,0,-1,-4,REST
1764868496.8101661,4,-1,-2,0,7,3,6,2,REST
1764868496.8236783,0,-3,-5,-3,-2,-6,1,0,REST
1764868496.8333623,-1,-3,-4,-1,-2,-1,3,1,REST
1764868496.8461165,3,-2,-1,-1,2,0,3,1,REST
1764868496.855215,1,-1,0,-4,-4,-1,-2,-3,REST
1764868496.8611503,-3,4,2,-1,-9,-5,0,-4,REST
1764868496.870134,-1,-4,-1,-7,-6,-3,-4,-5,REST
1764868496.8836696,2,-5,-1,5,-2,0,0,0,REST
1764868496.8927388,1,2,0,3,-4,-1,0,0,REST
1764868496.906222,-3,-2,-1,-7,-5,-4,-3,-3,REST
1764868496.9152012,-3,0,1,1,-4,2,1,3,REST
1764868496.9211674,-3,-1,1,-1,3,0,-1,-1,REST
1764868496.930226,-2,3,1,-2,-3,-5,-4,-2,REST
1764868496.9436707,1,3,-1,2,1,-1,1,-1,REST
1764868496.9586682,-4,-2,-6,-2,-8,-6,-5,-5,REST
1764868496.9662237,2,4,0,2,3,4,-1,5,REST
1764868496.9751265,0,-3,-2,1,4,-2,-1,-2,REST
1764868496.9811854,-2,-2,-2,-5,-4,0,2,0,REST
1764868496.9961498,-5,-1,-4,1,5,2,2,2,REST
1764868497.0036142,-2,-7,-2,0,2,-3,-5,-6,REST
1764868497.0127127,3,1,2,-2,4,-1,-2,-3,REST
1764868497.0263054,-4,-2,0,-2,2,0,1,1,REST
1764868497.0351746,-3,-4,-7,-3,2,2,-1,1,REST
1764868497.0412378,-2,1,-3,-7,0,1,1,2,REST
1764868497.0502903,-3,-1,-3,-5,-5,-3,-2,-3,REST
1764868497.063737,-1,0,-3,-1,-6,1,-2,1,REST
1764868497.0726798,-2,-2,-2,1,-9,-2,2,-2,REST
1764868497.0860896,1,3,4,-4,-3,1,-2,-1,REST
1764868497.0952425,-3,-6,-2,1,-1,-3,-1,-2,REST
1764868497.1012146,-1,-3,-1,-2,-4,-2,0,-2,REST
1764868497.110841,3,5,3,-1,0,-2,0,-5,REST
1764868497.1236672,0,-4,-2,2,-2,-5,-4,-2,REST
1764868497.1326804,1,4,3,1,2,-2,-4,0,REST
1764868497.1462193,-3,0,-3,0,-1,1,2,-2,REST
1764868497.1552436,-1,-1,1,-7,-5,-3,-3,-1,REST
1764868497.1611946,1,4,1,2,2,1,0,-3,REST
1764868497.1702576,-1,-4,0,-5,-4,5,-3,-2,REST
1764868497.1837904,-1,-2,-1,1,-1,-1,-2,-4,REST
1764868497.1927016,2,-5,-1,2,-3,-4,-1,1,REST
1764868497.2062078,-2,-3,-3,-8,-7,-5,-1,-3,REST
1764868497.2159758,2,3,3,0,1,3,1,-1,REST
1764868497.221276,1,0,1,-4,0,-4,-3,1,REST
1764868497.230361,-4,0,-4,-1,2,1,-2,1,REST
1764868497.2437725,-1,1,4,4,4,7,-3,4,REST
1764868497.2528574,1,-7,-7,-6,-9,-2,-5,-1,REST
1764868497.2662683,1,3,2,1,-8,0,-2,-1,REST
